BCUT2D_MWHI,BCUT2D_MRHI,BCUT2D_MRLOW,PEOE_VSA10,PEOE_VSA11,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA5,PEOE_VSA9,SMR_VSA3,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,TPSA,EState_VSA11,VSA_EState2,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,Value
16.150671,5.9908338,-0.1219301,0.0,0.0,5.90718,0.0,9.589074,0.0,11.456831,9.883888,11.050456,0.0,0.0,77.12,0.0,25.21441,0.0,1.0,0.0,6.89
35.495693,7.924955,-0.14372769,5.7495117,6.103966,10.023292,5.9693055,4.305216,0.0,10.58287,0.0,9.042079,5.6873865,5.7495117,83.91,0.0,11.447733,0.0,0.0,0.0,5.1
79.91873,9.102397,0.0697077,4.603196,0.0,5.90718,5.9693055,4.794537,0.0,17.299221,14.8678665,5.3167887,0.0,0.0,84.22,0.0,29.147924,0.0,2.0,0.0,8.7
16.575918,5.9997053,-0.12319188,11.499023,0.0,5.90718,6.0932403,10.111326,0.0,13.213764,5.3167887,14.790515,4.794537,11.499023,73.86,0.0,22.838787,1.0,0.0,1.0,6.47
32.16673,8.145595,-0.11857286,28.247986,0.0,5.2392116,0.0,14.905863,0.0,13.213764,5.3167887,19.527378,4.794537,22.998047,73.86,0.0,23.32421,1.0,0.0,1.0,6.71
16.365595,6.0026717,-0.115118615,11.844021,0.0,0.0,5.9693055,9.361637,0.0,23.18836,9.551078,5.3167887,5.6873865,0.0,84.22,0.0,28.107641,0.0,1.0,0.0,5.28
35.496784,6.316741,-0.27415946,17.248535,11.853478,0.0,12.331664,0.0,13.171246,16.233261,4.5670996,14.210588,13.171246,22.998047,69.92,0.0,11.199009,0.0,1.0,0.0,9.0
16.47647,5.9903812,0.0939729,11.818733,6.606882,5.90718,0.0,4.794537,0.0,6.041841,9.883888,10.053652,0.0,5.7495117,67.05,0.0,13.154048,0.0,1.0,0.0,7.13
19.422459,6.0405993,-0.27415988,17.248535,5.601051,5.90718,12.331664,9.361637,13.171246,12.626498,4.5670996,14.210588,13.171246,17.248535,86.99,0.0,25.054365,0.0,1.0,0.0,8.52
35.495693,7.8972483,0.0697708,5.7495117,0.0,15.93047,5.9693055,4.794537,0.0,28.77282,3.972406,10.053652,5.6873865,5.7495117,114.7,0.0,24.12733,0.0,1.0,0.0,5.4
79.91873,9.103002,0.069708,0.0,0.0,5.90718,5.9693055,4.794537,0.0,11.605292,9.883888,5.3167887,0.0,0.0,71.33,0.0,24.593876,0.0,1.0,0.0,7.62
35.495693,6.3024406,0.06961676,5.7495117,0.0,5.90718,5.9693055,9.361637,0.0,18.189949,4.5670996,4.736863,0.0,5.7495117,68.53,0.0,24.734955,0.0,1.0,0.0,6.68
35.495693,6.3016024,-0.13777676,36.459293,0.0,0.0,12.062546,9.694447,0.0,0.0,9.883888,4.736863,4.794537,5.7495117,102.1,0.0,29.64277,0.0,1.0,0.0,5.02
16.150303,6.0010705,0.0938577,0.0,0.0,5.90718,0.0,9.589074,0.0,6.041841,9.883888,11.050456,0.0,0.0,77.12,0.0,25.132246,0.0,1.0,0.0,7.21
35.495693,6.303471,0.09392294,5.8172207,0.0,5.90718,0.0,4.794537,0.0,11.064474,9.883888,5.3167887,4.390415,0.0,34.03,0.0,13.0379,0.0,1.0,0.0,7.74
32.166664,8.180774,-0.114852026,12.356394,0.0,11.146392,0.0,14.905863,0.0,11.449893,5.3167887,14.953561,10.481923,5.7495117,58.64,0.0,25.382963,1.0,0.0,1.0,4.4
16.514376,5.9905353,-0.14371587,5.7495117,6.103966,5.90718,5.9693055,4.794537,0.0,6.041841,9.883888,10.053652,0.0,5.7495117,80.56,0.0,24.419605,0.0,1.0,0.0,7.09
16.554668,5.776311,-0.13750315,36.10484,0.0,0.0,12.062546,9.694447,0.0,11.632673,9.883888,9.473726,4.794537,11.499023,125.89,0.0,29.709644,0.0,1.0,0.0,5.14
19.413315,5.9905586,-0.13952778,5.8172207,0.0,5.90718,6.1762986,4.794537,0.0,11.605292,9.883888,5.3167887,17.56166,0.0,34.03,0.0,13.034481,0.0,1.0,0.0,7.28
35.495693,6.3161225,-0.14381261,11.499023,17.504848,0.0,17.835348,4.5670996,0.0,40.660263,14.290862,15.163469,13.171246,11.499023,108.72,0.0,24.9516,0.0,2.0,0.0,7.18
35.496788,7.924973,-0.14372711,5.7495117,6.103966,10.023292,5.9693055,4.305216,0.0,15.605503,0.0,9.042079,5.6873865,5.7495117,83.91,0.0,11.315107,0.0,0.0,0.0,5.3
16.491453,6.0209737,0.06855487,11.499023,11.4434395,0.0,5.9693055,0.0,0.0,12.123583,4.5670996,9.473726,0.0,17.248535,60.69,0.0,12.445859,0.0,1.0,0.0,7.31
16.365137,5.6601744,-0.1366541,0.0,0.0,0.0,5.9693055,4.794537,0.0,0.0,0.0,0.0,0.0,0.0,37.3,0.0,10.381629,0.0,0.0,0.0,4.52
16.465332,5.9149113,-0.13572712,5.7495117,0.0,0.0,5.9693055,4.794537,0.0,13.53062,4.9839787,4.736863,0.0,5.7495117,62.32,0.0,14.709476,0.0,1.0,0.0,7.3
16.47707,5.852133,-0.13813515,11.509759,0.0,0.0,5.9693055,9.694447,0.0,18.845566,9.883888,4.736863,0.0,5.7495117,75.8,0.0,18.15247,0.0,1.0,0.0,6.12
16.368277,5.8822684,-0.142008,6.041841,0.0,0.0,5.9693055,4.794537,0.0,6.041841,10.300767,11.050456,0.0,0.0,108.21,0.0,26.552563,0.0,1.0,0.0,4.59
35.495693,7.887181,0.0697698,5.7495117,0.0,5.90718,5.9693055,4.794537,0.0,16.14632,4.305216,5.3167887,5.6873865,5.7495117,124.01,0.0,24.146315,1.0,0.0,0.0,5.3
32.16673,8.149275,-0.11847113,18.46036,0.0,5.2392116,0.0,19.889841,0.0,10.943866,10.300767,10.053652,4.794537,5.7495117,88.52,0.0,27.038197,1.0,1.0,1.0,4.3
16.554668,5.776298,-0.13750328,36.10484,0.0,0.0,12.062546,9.694447,0.0,0.0,9.883888,9.473726,4.794537,11.499023,102.1,0.0,29.892735,0.0,1.0,0.0,6.3
32.2347,7.8978205,0.2331306,0.0,0.0,10.023292,6.0311146,0.0,0.0,9.790967,14.760979,14.760979,4.794537,0.0,121.44,0.0,12.29377,0.0,0.0,0.0,5.47
32.133446,7.1700277,-0.19181405,18.116642,6.103966,0.0,12.145604,0.0,11.336786,12.30081,4.9839787,4.736863,13.171246,5.7495117,81.79,0.0,15.997989,0.0,2.0,0.0,8.52
79.91873,9.103002,0.09119169,0.0,0.0,5.90718,0.0,4.794537,0.0,5.538925,9.883888,5.3167887,0.0,0.0,34.03,0.0,13.259993,0.0,1.0,0.0,9.0
16.480124,6.119018,0.09500566,23.866154,5.783245,5.90718,0.0,9.589074,0.0,12.30081,15.200677,20.107304,5.6873865,11.499023,105.93,0.0,33.686214,0.0,1.0,0.0,5.2
16.537983,5.882497,-0.1517659,5.7495117,11.184071,5.879988,5.9693055,0.0,0.0,12.496022,5.1566634,9.473726,0.0,11.6295,81.79,0.0,11.496988,0.0,1.0,0.0,5.79
32.166794,8.009606,-0.13846979,16.256783,5.783245,0.0,5.9693055,14.383612,11.761885,12.30081,10.300767,15.3704405,5.6873865,5.7495117,130.76,0.0,43.781963,0.0,1.0,0.0,5.7
35.495693,6.302435,-0.13882403,11.499023,6.606882,5.90718,5.9693055,9.361637,0.0,12.626498,4.5670996,9.473726,0.0,11.499023,77.76,0.0,24.443514,0.0,1.0,0.0,6.48
35.495693,6.3040495,-0.27416274,11.499023,11.887212,0.0,12.331664,4.794537,13.171246,11.0801525,4.5670996,9.473726,13.171246,11.499023,77.76,0.0,25.116863,0.0,1.0,0.0,7.77
